Entity1	Entity2	Strength
黄豆芽	6-苄基腺嘌呤	1
红糖糕	甜蜜素	1
淡水虾	呋喃西林代谢物	1
巴旦木	霉菌	1
鸡爪	苯甲酸	9
杂粮馒头	柠檬黄	1
杂粮馒头	铝	2
河虾	呋喃西林代谢物	1
水吉酸菜	防腐剂	2
虾姑	镉	1
甜面酱	氨基酸态氮	1
沼虾	呋喃西林代谢物	1
微辣豆豉	脱氢乙酸	1
红糖馒头	环已基氨基磺酸钠	9
红糖馒头	甜蜜素	82
松茂麻油苔菜月饼	铝	1
大黄鱼	氟	11
馒头干	糖精钠	1
红椒	乐果	1
蜜枣蛋糕	防腐剂	1
墨鱼干	二氧化硫	18
白馒头	糖精钠	16
豆腐干	山梨酸	1
可可花生	胭脂红	1
和恒加饭酒	β-苯乙醇	1
鲜烤鳕鱼片	N-二甲基亚硝胺	1
菠菜	氯氰菊酯	2
小花卷	甜蜜素	3
醋大蒜	苯甲酸	8
鸭蛋	氟	81
菜包	铝	2
经典酱油	氨基酸态氮	1
饮用纯净水	铜	81
蛋黄板栗酥	霉菌	1
红枣桂圆蛋糕	防腐剂	1
酵素乌梅	苋菜红	1
红薯粉条	日落黄	1
黑鱼	氟	174
哈雷蛋糕	脱氢乙酸	2
即食海蜇	铝	93
艾饺	脱氢乙酸	1
韩式半梅	相同色泽着色剂加和系数	1
阿胶片	铅	2
烤鱼片	N-二甲基亚硝胺	1
无核话梅	乙酰磺胺酸钾	1
无核话梅	安赛蜜	1
三鲜锅巴	霉菌	1
黄金椰丝小餐包	防腐剂	1
手剥笋	乙二胺四乙酸二钠	1
苔菜	铅	2
谷物草鸡蛋	氟	1
猪脚皮	山梨酸	1
圆萝卜	甲拌磷	1
凉拌海蜇	铝	26
芹菜	水胺硫磷	2
嫩鸭	磺胺类	1
黑醋梅肉	乙酰磺胺酸钾	1
黑醋梅肉	安赛蜜	1
紫薯饼	霉菌	1
肉馒头	铝	1
早餐面包	防腐剂	1
年糕片	纳他霉素	4
白糖方糕	脱氢乙酸	1
鸡蛋	金刚烷胺	1
山核桃仁	霉菌	1
奶酪面包	防腐剂	1
乌鸡	恩诺沙星	1
豆腐	铝	1
老鸭	氯霉素	2
南北湖蓝莓汁饮料	乙酰磺胺酸钾	1
南北湖蓝莓汁饮料	安赛蜜	1
豆沙卷	糖精钠	1
香烤大海蜒	二丁基羟基甲苯	1
草莓干	胭脂红	5
豆面	苋菜红	11
黑麻酥糖	柠檬黄	1
开花馒头	甜蜜素	3
小馒头	环已基氨基磺酸钠	1
小馒头	甜蜜素	2
头号切片曲奇	山梨酸	1
大乌梅	苋菜红	1
饮用水	亚硝酸盐	1
饮用水	硝酸盐	1
糖水杨梅罐头	苋菜红	3
青砖茶	氟	20
鳊鱼	磺胺类	7
黄酒	安赛蜜	1
核桃糕	霉菌	3
带豆	灭蝇胺	5
荆花蜂蜜	氟	1
高粱包	甜蜜素	1
中豆腐	山梨酸	2
小黄瓜	苯甲酸	2
包菜	甲基异柳磷	6
荞麦酒	氰化物	1
千岛湖鲫鱼	孔雀石绿	2
荭菇娘果汁饮料	铅	1
瓜丝脆蜇皮	铝	1
肉鸡	多西环素	2
鲫鱼	地西泮	1
杂粮馒头	环已基氨基磺酸钠	1
杂粮馒头	甜蜜素	1
鸡蛋	氟	1
百花蜜	霉菌	1
沙琪玛	铝	7
鸭肉	五氯酚酸钠	4
小麻花	糖精钠	1
料酒	甜蜜素	1
太湖河虾	呋喃西林代谢物	1
开洋	亚硫酸盐	12
海蜇丝	铝	1
皮皮虾	镉	1
蓝莓慕斯	霉菌	1
羊肉卷	克伦特罗	1
荔枝蜂蜜	果糖和葡萄糖	1
广式凤梨味月饼	山梨酸	1
减盐盐渍海蜇头	山梨酸	4
戚风蛋糕	脱氢乙酸	1
白豆干	苯甲酸	1
糖糕	铝	4
年糕	二氧化硫	1
牛肉	地塞米松	1
糯米年糕	脱氢乙酸	2
大开洋	亚硫酸盐	5
拿破仑蛋糕	霉菌	1
紫姜	甜蜜素	1
红枣酒	甲醇	8
发糕	糖精钠	3
特级小青瓜	糖精钠	1
去骨胸肉	磺胺类	1
韭菜	乐果	1
榨菜丝	苯甲酸	4
枇杷梗	霉菌	1
野山椒小萝卜	防腐剂	1
华之良品盐津桃肉	霉菌	1
速冻鸡柳	脱氢乙酸	1
五香豆	二氧化硫	1
绿茶	氰戊菊酯	2
御坊斋萝卜干	防腐剂	1
实心包	糖精钠	2
玫瑰梅	胭脂红	2
泡萝卜	苯甲酸	1
农家蛋糕	纳他霉素	1
小龙虾	呋喃西林代谢物	8
盐渍海蜇丝	山梨酸	2
天目休闲笋	环己基氨基磺酸钠	1
天目休闲笋	甜蜜素	1
泡椒山野菜	二氧化硫	1
蛋皮绿豆糕	防腐剂	1
虾蛄	镉	1
罗氏沼虾	恩诺沙星	5
罗氏沼虾	环丙沙星	2
猕猴桃果脯	乙二胺四乙酸二钠	1
复真牌红景天刺五加胶囊	红景天苷	1
红糖麻花	糖精钠	2
白馒头	甜蜜素	17
花糕	甜蜜素	2
考豆干	苯甲酸	2
牛肉	克伦特罗	1
定胜糕	霉菌	1
牛奶夹心老式面包	防腐剂	1
猪肉	恩诺沙星	1
猪肉	环丙沙星	1
猪前腿肉	氟甲砜霉素	1
猪前腿肉	氟	1
猪前腿肉	甲砜霉素	1
桐梓包	甜蜜素	1
天养谷单晶冰糖	还原糖	1
鱼酸菜	苯甲酸	3
牛肉	莱克多巴胺	1
河鲫鱼	恩诺沙星	12
大米	镉	1
红糖	不溶于水杂质	1
花蟹	镉	1
蒸蛋糕	纳他霉素	2
羊前腿肉	氟	1
草鸡蛋	氟	2
杂粮馒头	苯甲酸	1
八宝菜	防腐剂	1
南瓜馒头	甜蜜素	11
绿豆芽	4-氯苯氧乙酸	1
大蒜	糖精钠	2
馒头	环已基氨基磺酸钠	3
馒头	甜蜜素	1
鲜鸡蛋	磺胺类	4
老醋蜇头	铝	2
云片糕	脱氢乙酸	1
碎咸菜	二氧化硫	1
卤鸡爪	苯甲酸	2
茶叶	铅	1
多味豆腐干	糖精钠	1
鲜鸡蛋	恩诺沙星	1
九制话梅	二氧化硫	1
香菇	镉	1
油面筋	铝	4
酱辣萝卜	苯甲酸	1
腌黄瓜	甜蜜素	3
腌榨菜皮	二氧化硫	1
萝卜丝包	糖精钠	2
酸辣豆角	防腐剂	2
咸菜	亚硝酸盐	1
咸菜	硝酸盐	1
冬笋	铅	1
红糖馒头	脱氢乙酸	2
即食海苔鱼片	N-二甲基亚硝胺	2
休闲蛋糕	防腐剂	1
中式点心	山梨酸	1
小勺子	阴离子合成洗涤剂	1
哈雷蛋糕	防腐剂	2
鲈鱼	环丙沙星	1
盐焗碧根果仁	霉菌	1
贵妃西梅	二氧化硫	1
猪前腿肉	五氯酚酸钠	2
精制冬菜	苯甲酸	1
贵妃西梅	亮蓝	1
精制冬菜	防腐剂	1
贵妃西梅	苋菜红	1
H冰鲜中鲳鱼散装	挥发性盐基氮	1
香醋	总酸	1
乌梅	日落黄	1
乌梅	柠檬黄	1
红高粱	氰化物	1
罗氏沼虾	呋喃西林代谢物	5
五谷烧	甜蜜素	1
秘制黑椒牛肉味	山梨酸	2
乌梅	亮蓝	1
香酥鸡翅	氯霉素	1
雪梨膏	苯甲酸	1
醉开心花生	黄曲霉毒素B1	1
低钠海盐	氯化钾	1
香酥肉	山梨酸	2
淡水河虾	呋喃西林代谢物	1
天然蜂蜜	果糖和葡萄糖	2
腌腊肉	氯霉素	1
鲜活虾蛄	镉	4
鸡肉	金刚烷胺	1
虎皮卷	脱氢乙酸	1
乌鸡肉	甲氧苄啶	1
缸豆	克百威	1
老蛋糕	苯甲酸	1
镇江陈醋	总酸	1
四季豆	克百威	3
黑鱼	五氯酚酸钠	17
丝苗米	镉	1
鸡蛋	恩诺沙星	1
鸡蛋	环丙沙星	1
绿豆粉	柠檬黄	1
绿豆粉	亮蓝	1
多宝鱼	恩诺沙星	1
鸭蛋	恩诺沙星	1
绿豆粉	日落黄	1
鸡爪	山梨酸	4
五香榨菜	苯甲酸	9
水中月饮用天然水	铜	1
韭菜	克百威	1
清露饮用天然水	铜	1
红糖馒头	糖精钠	1
微辣鸡爪	苯甲酸	1
蝴蝶酥	甜蜜素	1
纯高粱	甜蜜素	1
植物果肽	脱氢乙酸	1
虾菇	镉	9
奥思特饮用纯净水	铜	3
榨菜	防腐剂	10
无头虾干	二氧化硫	3
小河虾	呋喃西林代谢物	4
山黄母鸡	五氯酚酸钠	1
黑果腺肋花楸	脱氢乙酸	1
韭菜	氯氰菊酯	1
酱黄瓜	苯甲酸	10
饮用天然水	铜	35
细红糖	不溶于水杂质	1
葡萄酒	甲醇	1
白蟹	镉	15
榨菜丝	防腐剂	2
五香干榨菜	苯甲酸	11
白酒	甜蜜素	1
无花果	糖精钠	1
笋干	铅	2
无花果	甜蜜素	1
左旋肉碱蛋白粉	总砷	1
左旋肉碱蛋白粉	西布曲明	1
酱菜	苯甲酸	1
草莓	烯酰吗啉	5
婴儿配方奶粉	香兰素	1
蜂蜜	果糖和葡萄糖	1
鲁中宝胶牌阿胶核桃黑芝麻糕	霉菌	1
炒蚕豆	霉菌	1
手撕鸭排	总砷	3
油炸花生米	黄曲霉毒素B1	1
烘炒巴旦木	霉菌	2
放养土鸡	替米考星	1
放养土鸡	磺胺类	1
带皮大排肉	氯霉素	1
水晶柿饼	山梨酸	1
客家冰镇泡鸭爪	脱氢乙酸	1
牛鞭	山梨酸	1
核桃味瓜子	霉菌	2
鸡蛋	氯霉素	1
老醋海蜇	铝	7
玉米馒头	糖精钠	1
韭菜	阿维菌素	1
酱黄瓜	甜蜜素	6
大米年糕片	二氧化硫	1
醋大蒜	甜蜜素	5
醋大蒜	糖精钠	10
大米年糕片	脱氢乙酸	1
酱黄瓜	糖精钠	5
榨菜片	糖精钠	1
榨菜片	甜蜜素	1
榨菜片	苯甲酸	3
鸡蛋	磺胺类	1
鲜猪心	氟	1
红曲米酒	糖精钠	1
西芹	甲拌磷	3
酱黄瓜	防腐剂	9
红壳鸡蛋	氟	7
八宝酱瓜条	防腐剂	1
庙下醉客仙酒坊	糖精钠	1
即食海蜇	苯甲酸	1
嫩姜	防腐剂	3
嫩姜	脱氢乙酸	1
嫩姜	山梨酸	1
嫩姜	苯甲酸	1
龙游胖子发糕	糖精钠	1
建发特级咸菜	苯甲酸	1
芙蓉糕	霉菌	1
多味瓜子	甜蜜素	1
发糕	霉菌	1
火腿肠	山梨酸	1
红豆糍糕	霉菌	1
年糕片	二氧化硫	2
牛肚	克仑特罗	1
高粱酒	甲醇	1
糯高粮+稻谷	甲醇	1
泡椒凤爪	苯甲酸	2
豇豆	氯氰菊酯	1
高梁烧	甲醇	1
榨菜头	苯甲酸	12
凉拌鸡爪	苯甲酸	4
五粮酒	甲醇	3
黄酒	总酸	5
鸭蛋	环丙沙星	1
纯芝麻油	乙基麦芽酚	1
养生核桃包	山梨酸	1
五粮烧	甜蜜素	2
双林糯米陈酿	总酸	1
双林特酿	总酸	1
小葱	氟	1
阳春面	铅	1
粽子	苯甲酸	1
普通鳗鱼	甲氧苄啶	1
普通鳗鱼	恩诺沙星	1
粽子	糖精钠	1
腌腊禽制品	亚硝酸盐	2
腌腊禽制品	硝酸盐	2
本地粉丝	铝	1
基围虾	镉	1
奶油小馒头	甜蜜素	1
食用植物调和油	乙基麦芽酚	1
柿饼	山梨酸	3
宁波水磨年糕	脱氢乙酸	2
番薯烧	甲醇	1
花螺	恩诺沙星	1
花螺	环丙沙星	1
秋刀鱼	镉	1
鲍参翅肚	山梨酸	1
活黑鱼	恩诺沙星	1
老李五香干	山梨酸	2
多味瓜子	霉菌	1
木糖醇粗粮威化	霉菌	1
五花腊肉	苯甲酸	1
黑鱼	地西泮	1
法式海盐杏仁太妃糖	能量	1
草鱼	地西泮	5
菜豆	倍硫磷	1
猪肉	氯霉素	1
砂糖橘	丙溴磷	3
河虾	孔雀石绿	2
红糖蛋卷	山梨酸	1
话梅	甜蜜素	10
香辣牛肉酱	能量	1
精品香蕉	吡虫啉	4
黄鳝	呋喃西林代谢物	3
五花肉	五氯酚酸钠	3
荞麦原浆	甜蜜素	1
蜂蜜槽子糕	脱氢乙酸	1
混合水果干	霉菌	1
鲜鸡蛋	环丙沙星	1
香肠	胭脂红	1
鲜鸡蛋	金刚乙胺	1
鲜鸡蛋	氟	1
辣椒	克百威	1
鲜鸡蛋	氯霉素	1
鲜鸡蛋	甲硝唑	8
